video_url,comment
https://www.youtube.com/watch?v=vUKtZHx7i6U,"BJP already lost the election. Remember Chandigarh Mayor election loser was declared as winner. Can they do this under Indians and billions of watchful eyes.
India alliance Congress will get more than 335 seats as per genuine all India public and opinion poll"
https://www.youtube.com/watch?v=vUKtZHx7i6U,BJP will play unfair ... BJP are losing... Congress is winning
https://www.youtube.com/watch?v=vUKtZHx7i6U,Yeah he will but he’s not the person the country needs
https://www.youtube.com/watch?v=vUKtZHx7i6U,Good bye. Modi ji
https://www.youtube.com/watch?v=vUKtZHx7i6U,What is the doubt now
https://www.youtube.com/watch?v=vUKtZHx7i6U,40% discount for BJP'claim
https://www.youtube.com/watch?v=vUKtZHx7i6U,Modi 3rd time
https://www.youtube.com/watch?v=vUKtZHx7i6U,EVM magic will happen 
https://www.youtube.com/watch?v=vUKtZHx7i6U,The accuracy will improve to 100 percent soon  and the reasons are obvious
https://www.youtube.com/watch?v=vUKtZHx7i6U,Instead of WILL MODI read it MODI WILL.
https://www.youtube.com/watch?v=vUKtZHx7i6U,Are you dreaming
https://www.youtube.com/watch?v=vUKtZHx7i6U,Magic Happened
https://www.youtube.com/watch?v=vUKtZHx7i6U,NDA BJP gone this time 
https://www.youtube.com/watch?v=VxxeBMJXxmQ,No one knows where these guys conduct the survey
https://www.youtube.com/watch?v=VxxeBMJXxmQ,We don't want a coalition of corruption.
https://www.youtube.com/watch?v=VxxeBMJXxmQ,2nd Independence & justice for india on the 4th
https://www.youtube.com/watch?v=VxxeBMJXxmQ,June 4rt won by india alliance
https://www.youtube.com/watch?v=VxxeBMJXxmQ,Wrong survey
https://www.youtube.com/watch?v=VxxeBMJXxmQ,Already set EVM thats y godi is confident and it’s going to happen if no EVM fraud no chnce of return
https://www.youtube.com/watch?v=VxxeBMJXxmQ,Look at the public opinion in the message; it contradicts the poll.
https://www.youtube.com/watch?v=VxxeBMJXxmQ,All Godi Media
https://www.youtube.com/watch?v=VxxeBMJXxmQ,Bjp will definitely loose
https://www.youtube.com/watch?v=VxxeBMJXxmQ,The reality is no one can defeat Modi.
https://www.youtube.com/watch?v=VxxeBMJXxmQ,BJP can still hope for winning 400+ seats until Rahul baba is in politics
