title,source,date,link
"Tamil Nadu, Karnataka, Andhra Pradesh, Telangana Election Results 2024: Highlights",NDTV,"Jun 4, 2024",https://www.ndtv.com/india-news/tamil-nadu-karnataka-andhra-pradesh-telangana-election-results-2024-live-updates-bjp-vs-congress-rahul-gandhi-narendra-modi-5809043
"Video | Another ""Saffron"" Song Row, This Time Over Arijit Singh's Cancelled Concert",NDTV,"Dec 29, 2022",https://www.ndtv.com/video/another-saffron-song-row-this-time-over-arijit-singh-s-cancelled-concert-673987
"Himachal Pradesh Election Results 2017: BJP Wins 44 Seats, Says People Voted For Development - Highlights",NDTV,"Dec 18, 2017",https://www.ndtv.com/india-news/himachal-pradesh-assembly-election-result-2017-live-updates-bjps-pk-dhumal-congress-virbhadra-singh-1789006
Indian National Congress,NDTV,"Sep 21, 2017",https://www.ndtv.com/topic/indian-national-congress
01 May 2009,NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2009-05.html
Video | Stock Market | Europe Stocks Slump At Open As Panic Grips Global Markets Over Trump Tariffs,NDTV,1 week ago,https://www.ndtv.com/video/stock-market-europe-stocks-slump-at-open-as-panic-grips-global-markets-over-trump-tariffs-923452
"Lok Sabha Election Results Highlights: PM Modi Meets President, Stakes Claim To Form Government",NDTV,"Jun 8, 2024",https://www.ndtv.com/india-news/election-results-2024-live-updates-lok-sabha-election-results-bjp-congress-uttar-pradesh-india-alliance-nitish-kumar-rahul-gandhi-narendra-modi-5835785
Pm Modi On Karnataka Results,NDTV,"May 15, 2018",https://www.ndtv.com/topic/pm-modi-on-karnataka-results
"Video | BJP's Ashok Singhal: ""Arunachal Results Will Be A Miracle Of Brand Modi""",NDTV,"Apr 2, 2024",https://www.ndtv.com/video/bjp-s-ashok-singhal-arunachal-results-will-be-a-miracle-of-brand-modi-773234
Video | Abhilasha Agarwala from Durgapur wins stock market contest,NDTV,"Jan 4, 2012",https://www.ndtv.com/video/abhilasha-agarwala-from-durgapur-wins-stock-market-contest-220177
01 May 2014,NDTV,"Jun 6, 2020",https://archives.ndtv.com/articles/2014-05.html
Video | BJP Fields Rebel Congress Leader From Raebareli In Latest UP List,NDTV,"Jan 21, 2022",https://www.ndtv.com/video/assembly-elections-2022-bjp-fields-rebel-congress-leader-from-raebareli-in-latest-up-list-617425
Verdict in Nithari case on April 15,NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2009-04.html
Video | Ex Jharkhand Chief Minister Champai Soren In Delhi Amid Buzz Of Joining BJP,NDTV,"Aug 18, 2024",https://www.ndtv.com/video/ex-jharkhand-chief-minister-champai-soren-in-delhi-amid-buzz-of-joining-bjp-827157
Video | Tharoor Thumbs Up To Govt: Is He Thumbing Nose At Congress?,NDTV,1 month ago,https://www.ndtv.com/video/tharoor-thumbs-up-to-govt-is-he-thumbing-nose-at-congress-915805
Lok Sabha Election Results Highlights: Election Commission To Present List Of Newly-Elected MPs To President Today,NDTV,"Jun 7, 2024",https://www.ndtv.com/india-news/election-results-2024-live-updates-lok-sabha-election-results-bjp-congress-uttar-pradesh-india-alliance-nitish-kumar-rahul-gandhi-narendra-modi-5828179
"News Videos & Television News Videos Archive for March, 2009: Daily News Archive",NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2009-03.html
"Video | Adani Group Touts Financial Muscle, Shows Can Grow Without External Debt",NDTV,"Nov 25, 2024",https://www.ndtv.com/video/adani-group-touts-financial-muscle-shows-can-grow-without-external-debt-865179
Video | Bye-Bye Trudeau | Dhaka Guns for Hasina | UK Pak Grooming Gangs | HMPV India | Stock Market Crash,NDTV,"Jan 6, 2025",https://www.ndtv.com/video/bye-bye-trudeau-dhaka-guns-for-hasina-uk-pak-grooming-gangs-hmpv-india-stock-market-crash-884862
Video | Bullish on TCS: Sumeet Bagadia,NDTV,"Dec 16, 2016",https://www.ndtv.com/video/bullish-on-tcs-sumeet-bagadia-442653
"News Articles & Stories for April, 2019: Daily News Archive",NDTV,"Apr 8, 2019",https://archives.ndtv.com/articles/2019-04.html
"Shashi Tharoor: Latest News, Photos, Videos on Shashi Tharoor - NDTV.COM",NDTV,"Sep 22, 2017",https://www.ndtv.com/topic/shashi-tharoor
Video | Chandigarh: Youth Congress Workers' Lodges Protest Against BJP Over Various Issues,NDTV,"Feb 9, 2025",https://www.ndtv.com/video/chandigarh-youth-congress-workers-lodges-protest-against-bjp-over-various-issues-900303
01 December 2007,NDTV,"Dec 1, 2007",https://archives.ndtv.com/videos/2007-12.html
"""Had Mandate To Change Constitution In Last 10 Years, But..."": Amit Shah",NDTV,"May 17, 2024",https://www.ndtv.com/india-news/had-mandate-to-change-constitution-in-last-10-years-but-amit-shah-5681638
Video | Global Recession | IMF's Latest Warning On Global Recession,NDTV,11 hours ago,https://www.ndtv.com/video/global-recession-imf-s-latest-warning-on-global-recession-928006
"Video | Massive Worldwide Microsoft Outage: Flights, Markets, Stock Exchange Down",NDTV,"Jul 19, 2024",https://www.ndtv.com/video/microsoft-outage-massive-worldwide-microsoft-outage-flights-markets-stock-exchange-down-816418
"Video | PM's Scathing Attack On Congress Over Emergency, Ambedkar",NDTV,"Feb 6, 2025",https://www.ndtv.com/video/pm-s-scathing-attack-on-congress-over-emergency-amedkar-899069
01 December 2008,NDTV,"Dec 1, 2008",https://archives.ndtv.com/videos/2008-12.html
"Video | Sensex Crosses 73,000 For 1st Time, Nifty Opens Above 22,000",NDTV,"Jan 15, 2024",https://www.ndtv.com/video/sensex-crosses-73-000-for-1st-time-nifty-opens-above-22-000-753561
Video | Auspicious 'Mahurat' Trading Brings Optimism To Investors,NDTV,"Nov 1, 2024",https://www.ndtv.com/video/auspicious-mahurat-trading-brings-optimism-to-investors-855554
Actor Ambareesh's Wife Sumalatha To Contest As An Independent From Mandya,NDTV,"Mar 21, 2019",https://www.ndtv.com/india-news/lok-sabha-elections-2019-the-mandya-muddle-sumalatha-ambareesh-files-nomination-as-an-independent-fr-2010545
Video | Do not see risk to UPA-II survival: Vinod Sharma,NDTV,"Sep 20, 2012",https://www.ndtv.com/video/do-not-see-risk-to-upa-ii-survival-vinod-sharma-247593
"Amid Mutiny In Party, Upendra Kushwaha Hosts Congress Leader Ahmed Patel",NDTV,"Dec 16, 2018",https://www.ndtv.com/india-news/upendra-kushwaha-hosts-congress-leader-ahmed-patel-1963240
First tranche of new Greek bailout by March 20: Jean-Claude Juncker,NDTV,"Jun 6, 2020",https://archives.ndtv.com/articles/2012-03.html
Video | Congress Drops Leader As Poll Pick Amid Row Over Remarks On Kangana Ranaut,NDTV,"Mar 27, 2024",https://www.ndtv.com/video/congress-drops-leader-as-poll-pick-amid-row-over-remarks-on-kangana-ranaut-771958
01 January 2012,NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2012-01.html
Video | Sampath Kumar: The Telangana Teacher Selected For National Teachers' Awards,NDTV,"Aug 30, 2024",https://www.ndtv.com/video/sampath-kumar-the-telangana-teacher-selected-for-national-teachers-awards-831618
Video | Indian Markets Rebound On Global Trade Optimism | Bitcoin Slumps To New Low | The World Report,NDTV,1 week ago,https://www.ndtv.com/video/indian-markets-rebound-on-global-trade-optimism-bitcoin-slumps-to-new-low-the-world-report-923869
01 December 2011,NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2011-12.html
01 November 2012,NDTV,"Jun 6, 2020",https://archives.ndtv.com/articles/2012-11.html
Opinion | The Many Coalition Compulsions As NDA 3.0 Begins Its Journey,NDTV,"Jun 7, 2024",https://www.ndtv.com/opinion/coalition-compulsions-as-nda-3-0-begins-its-journey-5839450
"Video | Rs 2,200 Crore Online Trading Scam Busted In Assam, Chief Minister Issues Warning",NDTV,"Sep 4, 2024",https://www.ndtv.com/video/rs-2-200-crore-online-trading-scam-busted-in-assam-chief-minister-issues-warning-833859
Video | Union Minister Nitin Gadkari Faces Ex-BJP Leader Nana Patole In Nagpur,NDTV,"Apr 11, 2019",https://www.ndtv.com/video/union-minister-nitin-gadkari-faces-ex-bjp-leader-nana-patole-in-nagpur-511840
Video | Sambit Patra Exposes Congress Over Scrapping Quota For SC-ST-OBCs In Universities In Lok Sabha,NDTV,"Aug 4, 2024",https://www.ndtv.com/video/sambit-patra-exposes-congress-over-scrapping-quota-for-sc-st-obcs-in-universities-in-lok-sabha-821833
Video | 2G scam: Shahid Balwa quits as DB Realty boss,NDTV,"Mar 7, 2011",https://www.ndtv.com/video/2g-scam-shahid-balwa-quits-as-db-realty-boss-192957
"""Modi 3.0 To Be Free From Nepotism, "" Says Amit Shah At BJP Meet",NDTV,"Feb 18, 2024",https://www.ndtv.com/video/modi-3-0-to-be-free-from-nepotism-says-amit-shah-at-bjp-meet-762463
"News Articles & Stories for February, 2012: Daily News Archive",NDTV,"Jun 6, 2020",https://archives.ndtv.com/articles/2012-02.html
Video | Bihar Election: Nitish Kumar's 'Saat Nischay' Vs Tejashwi Yadav's '10 Lakh Jobs' Promise,NDTV,"Nov 9, 2020",https://www.ndtv.com/video/bihar-election-nitish-kumar-s-saat-nischay-vs-tejashwi-yadav-s-10-lakh-jobs-promise-565841
"News Videos & Television News Videos Archive for May, 2014: Daily News Archive",NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2014-05.html
Video | Bharat Dalal on Tech Mahindra stock,NDTV,"Jun 9, 2009",https://www.ndtv.com/video/bharat-dalal-on-tech-mahindra-stock-80834
"News Videos & Television News Videos Archive for March, 2012: Daily News Archive",NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2012-03.html
01 June 2008,NDTV,"Jun 1, 2008",https://archives.ndtv.com/videos/2008-06.html
"Video | Sensex Rises 1,000 Points After Crash, Analysts Say Panic Selling Settled",NDTV,1 week ago,https://www.ndtv.com/video/sensex-rises-1-000-points-after-crash-analysts-say-panic-selling-settled-923915
"News Videos & Television News Videos Archive for November, 2011: Daily News Archive",NDTV,"Jun 6, 2020",https://archives.ndtv.com/videos/2011-11.html
Actor Isha Koppikar Joins BJP As Head Of Women Transport Wing,NDTV,"Jan 27, 2019",https://www.ndtv.com/india-news/actor-isha-koppikar-joins-bjp-as-head-of-women-transport-wing-1983999
"Video | Trump Claims $2 Billion Daily In Tariff Revenue, Here's What Govt Data Says",NDTV,1 week ago,https://www.ndtv.com/video/trump-claims-2-billion-daily-in-tariff-revenue-here-s-what-govt-data-says-924129
"Video | Donald Trump Raises Tariffs On China To 104%, Effective Today: White House",NDTV,1 week ago,https://www.ndtv.com/video/donald-trump-raises-tariffs-on-china-to-104-effective-today-white-house-924140
Donald Trump's Dealmaker Image Tarnished By US Government Shutdown,NDTV,"Jan 20, 2018",https://www.ndtv.com/world-news/donald-trumps-dealmaker-image-tarnished-by-us-government-shutdown-1802487
01 May 2008,NDTV,"May 1, 2008",https://archives.ndtv.com/videos/2008-05.html
"Voting Memes: Latest News, Photos, Videos on Voting Memes - NDTV.COM",NDTV,"Apr 12, 2019",https://www.ndtv.com/topic/voting-memes
Video | Asian Stocks Rebound Despite Trump's Latest China Tariff Threat,NDTV,1 week ago,https://www.ndtv.com/video/asian-stocks-rebound-despite-trump-s-latest-china-tariff-threat-923744
"News Articles & Stories for December, 2011: Daily News Archive",NDTV,"Jun 6, 2020",https://archives.ndtv.com/articles/2011-12.html
"News Articles & Stories for October, 2019: Daily News Archive",NDTV,"Oct 1, 2019",https://archives.ndtv.com/articles/2019-10.html
Video | Students On Meeting Rahul Gandhi During Bharat Jodo Yatra In Rajasthan,NDTV,"Dec 10, 2022",https://www.ndtv.com/video/students-on-meeting-rahul-gandhi-during-bharat-jodo-yatra-in-rajasthan-670653
Video | Rupee Hits A New Record Low Of 83.30 Per Dollar,NDTV,"Oct 20, 2022",https://www.ndtv.com/video/rupee-hits-a-new-record-low-of-83-30-per-dollar-661038
"News Articles & Stories for January, 2012: Daily News Archive",NDTV,"Nov 15, 2014",https://archives.ndtv.com/articles/2012-01.html
"Opinion | UCC To Corruption, 4 Messages From Modi's Independence Day Speech",NDTV,"Aug 16, 2024",https://www.ndtv.com/opinion/4-key-messages-from-pm-modis-independence-day-speech-6348248
"Alliance With Chandrababu Naidu Worked Against Congress, Says KCR",NDTV,"Dec 11, 2018",https://www.ndtv.com/india-news/alliance-with-chandrababu-naidu-worked-against-congress-says-kcr-1961136
Video | DMK Vs DMDK Vs BJP: A Triangular Contest,NDTV,"Apr 7, 2024",https://www.ndtv.com/video/lok-sabha-polls-2024-ndtv-ground-report-from-central-chennai-774533
