comment
Only godi media declar that bjp win let see on 4th june
"Just wait for 4th June, don't waste your time sleep."
"Simple words no confusion, again MODI IS PM"
"My poll BJP 378 + nda 422 look what is the real result .,."
Modi ji need India 400+ okkkkkkkkkkkkk PM modi ji
Why congress is continuing with Rahul Gandhi if Congress give chance to  outsider i think congress wouldn't  be so weak
Only bjp
Is baar phir Modiji ka Sarkar
Only bjp modi hain toh mumkin hai
Now godi media is
godi media only
386 Sets NDA
Modi only requires 370 seats to bring some special changes to the country
BJP sarkaar Modi ji total sit 187   Indian 2024 fully fall
BJP
Where is 400 par?
Godi media of modani started to keep shouting.
"Until Congress openly apologises to majority community for ignoring their religious sentiments, until it assures it won't repeat minority appeasement, CONG & TEAM WON'T WIN. Such a simple fact they don't want to understand."
"Considerable amount of payment will be made to these medias by the BJP.
If you said 400+ to BJP, you would be paid more."
Modi will win 500 seats for sure
""
Godi media
400par bjp
"Congres sought votes by declaring benefits by clasifying some specific people.but it didn't say that all are same,this is also comunalism and tried devide the contry, that's why the people rejected it"
modi shoukd get mire than 400 jai shri ram
Godi modi media pagal ho chuka h mahamanav har rha h june dalali expired in Indian media
Jumla sakar bjp
Godi medias funeral is very close
This is modi news
Feke news
The projections are bullshitting
"357bbjp,win"
"Exit polls shows, Modi's Black Magic Rituals working for him."
Modi only  papu
BJP will get 50 to 75 seats throughout India.
INDIA will clean modiji govt
Godi media punishable after june 4th
Godi media
""
"Congres sought votes by declaring benefits by clasifying some specific people.but it didn't say that all are same,this is also comunalism and tried devide the contry, that's why the people rejected it"
"Congres sought votes by declaring benefits by clasifying some specific people.but it didn't say that all are same,this is also comunalism and tried devide the contry, that's why the people rejected it"
